AgS,ReT,Temp,pH,rpm,AdC,Ce,qe
Aged,PS,25.0,4.0,150.0,Single-ion,0.27583,0.04713916
Aged,PS,25.0,4.0,150.0,Single-ion,0.28863,0.04630579
Aged,PS,25.0,4.0,150.0,Single-ion,0.47262,0.06730670000000001
Aged,PS,25.0,4.0,150.0,Single-ion,0.49486,0.06972347000000001
Aged,PS,25.0,4.0,150.0,Single-ion,0.70243,0.07939056
Aged,PS,25.0,4.0,150.0,Single-ion,0.724,0.08122396999999999
Aged,PS,25.0,4.0,150.0,Single-ion,1.00368,0.10439165
Aged,PS,25.0,4.0,150.0,Single-ion,1.03603,0.10222489
Aged,PET,15.0,7.0,150.0,Single-ion,1.06449693,0.03977775
Aged,PET,15.0,7.0,150.0,Single-ion,3.20942538,0.11174407
Aged,PET,15.0,7.0,150.0,Single-ion,4.30600798,0.13201794
Aged,PET,15.0,7.0,150.0,Single-ion,5.39615902,0.15122476
Aged,PET,15.0,7.0,150.0,Single-ion,7.59897159,0.16059105
Aged,PET,15.0,7.0,150.0,Single-ion,9.8146473,0.17221
Aged,PET,25.0,7.0,150.0,Single-ion,1.05806536,0.05969594
Aged,PET,25.0,7.0,150.0,Single-ion,3.17083596,0.15786416
Aged,PET,25.0,7.0,150.0,Single-ion,4.260987,0.17849371
Aged,PET,25.0,7.0,150.0,Single-ion,5.36078539,0.19212819
Aged,PET,25.0,7.0,150.0,Single-ion,7.5539506,0.20671115
Aged,PET,25.0,7.0,150.0,Single-ion,9.77927367,0.21263918
Aged,PET,35.0,7.0,150.0,Single-ion,1.05806536,0.07996981
Aged,PET,35.0,7.0,150.0,Single-ion,3.1193834,0.21761872
Aged,PET,35.0,7.0,150.0,Single-ion,4.19023973,0.24287214
Aged,PET,35.0,7.0,150.0,Single-ion,5.277174990000001,0.25840359
Aged,PET,35.0,7.0,150.0,Single-ion,7.48320334,0.27239374
Aged,PET,35.0,7.0,150.0,Single-ion,9.714957969999999,0.27772897
Virgin,PE,25.0,7.0,,Single-ion,1.08301,0.0012802
Virgin,PE,25.0,7.0,,Single-ion,1.28831,0.01515058
Virgin,PE,25.0,7.0,,Single-ion,1.45899,0.01849433
Virgin,PE,25.0,7.0,,Single-ion,2.15009,0.02233345
Virgin,PE,25.0,7.0,,Single-ion,2.76599,0.02386084
Virgin,PE,25.0,7.0,,Single-ion,3.87365,0.0272046
Virgin,PE,25.0,7.0,,Single-ion,5.03621,0.0291448
Virgin,CPE,25.0,6.5,20.0,Single-ion,13.3474065,4.424673833999999
Virgin,CPE,25.0,6.5,20.0,Single-ion,19.633137,4.929928109
Virgin,CPE,25.0,6.5,20.0,Single-ion,25.628444,5.410734699
Virgin,CPE,25.0,6.5,20.0,Single-ion,34.49176249999999,5.7000339995
Virgin,CPE,25.0,6.5,20.0,Single-ion,43.210187,5.842645919
Virgin,PVC,25.0,6.5,20.0,Single-ion,14.274601,3.3082242565
Virgin,PVC,25.0,6.5,20.0,Single-ion,24.267203,3.670866612
Virgin,PVC,25.0,6.5,20.0,Single-ion,31.1897045,3.8420010425
Virgin,PVC,25.0,6.5,20.0,Single-ion,37.6196935,3.8745983795
Virgin,PVC,25.0,6.5,20.0,Single-ion,44.426534,3.8420010425
Virgin,HPE,25.0,6.5,20.0,Single-ion,22.8481315,2.8192680145
Virgin,HPE,25.0,6.5,20.0,Single-ion,28.119604,2.8477905255
Virgin,HPE,25.0,6.5,20.0,Single-ion,32.8407335,3.027074608
Virgin,HPE,25.0,6.5,20.0,Single-ion,37.851651,3.3897169635
Virgin,HPE,25.0,6.5,20.0,Single-ion,44.62925849999999,3.691239471
Virgin,LPE,25.0,6.5,20.0,Single-ion,24.122309,1.3686985925
Virgin,LPE,25.0,6.5,20.0,Single-ion,29.1332265,1.62132573
Virgin,LPE,25.0,6.5,20.0,Single-ion,33.623034,1.710968089
Virgin,LPE,25.0,6.5,20.0,Single-ion,38.7788455,1.812833655
Virgin,LPE,25.0,6.5,20.0,Single-ion,44.83198299999999,2.024714439
Virgin,PS,25.0,7.0,140.0,Mixed,7.196880000000001e-07,0.001268673884328618
Virgin,PS,25.0,7.0,140.0,Mixed,1.232e-05,0.002618966842119519
Virgin,PS,25.0,7.0,140.0,Mixed,1.232e-05,0.004566673896495313
Virgin,PS,25.0,7.0,140.0,Mixed,9.667000000000001e-05,0.004566673896495313
Virgin,PS,25.0,7.0,140.0,Mixed,0.00015572,0.003857447286724762
Virgin,PS,25.0,7.0,140.0,Mixed,0.00018524,0.004751710793207398
Virgin,PS,25.0,7.0,140.0,Mixed,0.00038241,0.1150826887407716
