scenario,MAE,nMAE,R2,SHAP_pH_pct,SHAP_pH_rank
imputed,0.412190945623667,0.04532538368573006,0.6910409257215369,4.781993131624456,5.0
pH=6,0.42432863953990496,0.04666007004809311,0.6844318853339864,0.0,7.0
pH=7,0.42432863953990496,0.04666007004809311,0.6844318853339862,0.0,7.0
pH=8,0.42432863953990496,0.04666007004809311,0.6844318853339862,0.0,7.0
