model,oof_mae,oof_nmae,oof_r2,fold_mae_mean,fold_mae_std,test_mae,test_nmae,test_r2,best_cv_mae_from_search,model_path
XGBoost,0.40398524652269535,0.044423067746697374,0.6968143302099015,0.40401730835596517,0.04488430587033474,0.2903797554061694,0.03843294289303163,0.8091162885501277,0.4011886008685762,G:\My Drive\Cu-MP LLM prediction\cu_mp_adsorption\outputs\models\XGBoost_tuned.joblib
RandomForest,0.4117937430204808,0.04528170645171623,0.7216771598120725,0.4118485648807936,0.0394155677652904,0.3112921829506951,0.04120078782233534,0.8125516465931159,0.4118485648807936,G:\My Drive\Cu-MP LLM prediction\cu_mp_adsorption\outputs\models\RandomForest_tuned.joblib
LightGBM,0.44076520829035937,0.04846746973263497,0.6677129601883854,0.44063681142493627,0.04403441483150111,0.35740449023895343,0.04730393943563099,0.7696392796528089,0.44063681142493627,G:\My Drive\Cu-MP LLM prediction\cu_mp_adsorption\outputs\models\LightGBM_tuned.joblib
ElasticNet,0.7583055844132416,0.08338487763858457,0.25362477135909456,0.758350182420833,0.07256947742578287,0.7141267130120865,0.09451757799434662,0.3493187465460421,0.758350182420833,G:\My Drive\Cu-MP LLM prediction\cu_mp_adsorption\outputs\models\ElasticNet_tuned.joblib
