strategy,n_rows_evaluated,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,mean_shap_ph,std_shap_ph,mean_shap_rank_ph,median_shap_rank_ph
CCA,425.0,0.29071400768942557,0.05106012199764183,0.7086142433371084,0.11166774332953779,0.07758601434967896,0.006543302074495346,3.0,3.0
Median,789.0,0.44078561101925445,0.05350839838184134,0.6710200728736717,0.13153770173737148,0.058883573662982816,0.0060578996293583825,5.4,5.5
MICE,789.0,0.46556971887645765,0.051987277018633114,0.6452049718132837,0.13150687148854803,0.0600528979977492,0.01363087684897872,4.5,4.0
